"","X","status","county","incident_date","year","quarter","clean_prior_status","prior_status","narrative"
"215",215,"fatality","Franklin",2014-08-20,2014,2014-07-01,"N"," The family was not known to theagency prior to the incident.","6. A 3-month-old female child died on Aug. 20, 2014, due to physical abuse. Franklin CountyChildren and Youth Services (FCCYS) substantiated the case in Sept. 2014 naming the child’sbabysitter as the perpetrator. Law enforcement contacted FCCYS on Aug. 20, 2014, to notifythe agency of the death of the child. Law enforcement indicated that the death had been ruleda non-accidental homicide. During the law enforcement investigation, it was learned that thechild’s mother was working at the time of the incident and the child was in the care of thebabysitter. Although the babysitter was living in the home at the time of the incident, she wasnot a relative of any of the other household members. The babysitter admitted during aninterview with law enforcement that while caring for the child, she became frustrated and struckthe child several times across the face and banged the child’s head off a banister. An autopsyconducted on Aug. 20, 2014, found that child’s death was the result of blunt force trauma. Thechild was found to have a skull fracture along with numerous bruises on various parts of herbody. At the time of the incident the child resided with her mother, three female adults, fivechildren and the babysitter. After removing the babysitter, law enforcement reported no safetyconcerns for the other children in the home. FCCYS conducted a home visit on Aug. 21, 2014,completed an in-home safety assessment with the children and all household members and2014 3rd Quarter Fatalities/Near Fatalities 5July 1 – September 30 2014also confirmed there were no safety threats or concerns. The family was not known to theagency prior to the incident. The babysitter was arrested on the date of the incident andcharged with criminal homicide and is incarcerated awaiting criminal proceedings.Philadelphia County"
"216",216,"fatality","Philadelphia",2014-08-03,2014,2014-07-01,"Y"," The family was known to the Philadelphia Department ofHuman Services prior to the incident due to a previous Child Protective Services referralreceived in May 2013 naming the victim child’s father as the alleged perpetrator in an incidentinvolving the 7-year-old nephew.","7. A 2-month-old male child died on Aug. 3, 2014, due to injuries sustained from physicalabuse. The Southeast Regional Office of Children, Youth and Families (SERO) substantiatedthe case in Oct. 2014 naming the child’s father as the perpetrator. The child was brought to the hospital emergency room by the father on Aug. 1, 2014. Upon arrival at the hospital, the childwas unresponsive, his body was floppy and he had blood coming out of his right ear. Thefather reported that he had left the child alone in a room while he went out to get some milkand when he returned to the room he found the child on the ground. The father stated that thechild fell out of the bassinet and that the fall was approximately four feet. According to theattending physician, the father’s explanation was not consistent with the child’s injuries and thefather was detained, at the hospital, for questioning by the police. The child was listed in criticalcondition and placed on life support. Two days later the family consented and the child wasremoved from life support and died. The autopsy revealed a fracture around the child’s skulland cranial bleeding. The autopsy also revealed healing rib fractures of the right side and liverlacerations. The cause of death was determined to be cranial cerebral trauma. During theinvestigation, the father admitted to “rough housing” with the child, which consisted of bearhugging the child, hitting the child on the back to put him to sleep and throwing the child up inthe air. The father also admitted that on multiple occasions he gripped the child by the torsoand forcefully shook him. At the time of the incident, the child resided in the home with hisfather, mother, paternal grandfather and grandmother, an aunt, the grandparents’ 7-year-oldnephew and a 1-year-old sibling. The child’s paternal grandparents were serving as kinshipfoster parents for the nephew at the time of the incident. The nephew was immediately movedto another foster home within the provider agency. The sibling was taken into protectivecustody and placed in foster care. The family was known to the Philadelphia Department ofHuman Services prior to the incident due to a previous Child Protective Services referralreceived in May 2013 naming the victim child’s father as the alleged perpetrator in an incidentinvolving the 7-year-old nephew. The report was unfounded as the injuries to the child did notrise to the level of abuse under the law. A plan of correction was put into place to ensure thatthe alleged perpetrator did not have any unsupervised contact with the nephew and he wasreferred to parenting/discipline classes. The mother of the deceased child currently continuesto have regular, supervised visitation with the sibling and was referred for a parenting capacityevaluation. Agency services are being provided for the 1-year-old sibling. The father wasarrested and charged with murder and endangering the welfare of a child and is currentlyincarcerated."
"217",217,"fatality","Philadelphia",2014-09-25,2014,2014-07-01,"Y"," The family was known to DHS prior to the child’s death for unfounded reports ofphysical abuse and domestic violence.","8. On Sept. 25, 2014, a 16-month-old female child died due to neglect. A lack of supervisionresulted in the child drowning in a bathtub. On the date of the incident, the child was beingbathed with her two siblings, 6 years old and 2 years old. The mother was bathing the childrenand left the bathroom to retrieve the children’s pajamas. The father then called the mother tothe kitchen where a discussion ensued. The parents were alerted to the bathroom when one ofthe child’s siblings screamed. When the mother and father reached the bathroom, the childwas face-down in the bathtub. Emergency personnel responded to the home but the child had2014 3rd Quarter Fatalities/Near Fatalities 6July 1 – September 30 2014died prior to their arrival. Philadelphia Department of Human Services (DHS) conducted aninvestigation of the alleged neglect and on Oct. 21, 2014, indicated both the mother and fatheras perpetrators of child abuse. As a result of the child’s death, the two siblings are living withtheir maternal grandmother who was granted temporary legal custody. The parents weregranted liberal visits with the children. The mother, father and six-year-old sibling are receivinggrief counseling and the family was accepted for additional services through a social servicesagency. The family was known to DHS prior to the child’s death for unfounded reports ofphysical abuse and domestic violence. The report was made in Mar. 2014 regarding an incident that reportedly occurred in the summer of 2013. Law enforcement continues toinvestigate this current incident."
"218",218,"fatality","Philadelphia",2014-09-26,2014,2014-07-01,"N"," Prior to this incident the family was not known to childrenand youth services.","9. A 6-year-old female child died on Sept. 26, 2014, as a result of medical complicationsrelated to her asthma issues. Philadelphia Department of Human Services (DHS) indicated thereport in Oct. 2014 and named the child’s biological mother as perpetrator of medical neglect.The victim child had been hospitalized on numerous occasions due to complications with herasthma. On the day the child died her mother found her on the floor not breathing andproceeded to call emergency services immediately and performed CPR until they arrived. Afterthe child was taken to the hospital it was noted by the child’s pediatrician that the mother hadmissed a couple of follow up appointments after hospitalizations over the past few months.The mother stated that she had missed one follow up appointment with the child’s doctor. Priorto this incident the mother was given medical equipment that allowed her to care for the childat home so they would not have to spend as much time in the hospital. After this incident themother received grief counseling and she took part in individual and group therapy sessions.DHS visited the home to assure the safety of the victim child’s sibling. There were no concernsregarding the mother’s ability to care for the child, and it was reported that the maternal auntagreed to stay with the family to help care for the child. In Oct. 2014 the Northeast TreatmentCenter began providing the family with in-home safety services which they reported the mother successfully completed in Dec. 2014. Prior to this incident the family was not known to childrenand youth services. There are no criminal charges pending against the mother at this time."
"219",219,"fatality","York",2014-03-16,2014,2014-01-01,"Y"," YCOCYF was involved with the sibling of the child prior to the child’s death but werenot involved with the family at the time of the child’s death.","10. A 1-year-old female child died on March 16, 2014, due to physical abuse. York CountyOffice of Children, Youth and Families (YCOCYF) indicated the sibling’s paternal uncle forphysical abuse as a result of alcohol impairment which resulted in the child’s death. The childwas staying over at her sibling’s paternal grandmother’s home where the child’s sibling’spaternal uncle also resides. The child was sleeping on a mattress located on the floor of thesibling’s paternal grandmother’s room. The sibling’s paternal uncle came into the room andasked for the child to be permitted to sleep on his chest. The sibling’s paternal grandmotherdenied this request. He then came back into the room after the sibling’s paternal grandmotherwas sleeping and took the child to his bedroom. The sibling’s paternal uncle reported that heput the child on his chest with the child lying on her stomach. He reported waking and findingthe child on her back. The sibling’s paternal uncle reported hearing his mother calling for himand attempted to rouse the child at which point he noticed she was not breathing. The sibling’spaternal uncle reported that he realized the child was deceased at this point and began toconsume large amounts of alcohol. The sibling’s paternal uncle reportedly attempted two timesto hang himself from his ceiling with rope but failed. After the second failed attempt he took the2014 3rd Quarter Fatalities/Near Fatalities 7July 1 – September 30 2014child to the sibling’s paternal grandmother for help. Emergency medical services werecontacted and cardio pulmonary resuscitation was begun on the child. The child waspronounced dead at the hospital. An autopsy was performed which revealed a blood ethanol level of 0. 04% which professionals stated would have to be ingested to register at thisamount. YCOCYF was involved with the sibling of the child prior to the child’s death but werenot involved with the family at the time of the child’s death. Concerns regarding the mother’sability to protect her children precipitated the involvement. The agency completed anassessment, finding the mother to be appropriate and the allegations to be unsubstantiated.The child’s sibling has not had contact with the paternal uncle or paternal grandmother sincethe incident. The sibling’s paternal uncle was charged with murder of the third degree,involuntary manslaughter, endangering welfare of children and tampering with or fabricatingphysical evidence. He is currently being held in York County Prison with a trial pending."
"220",220,"near fatality","Bedford",2014-07-15,2014,2014-07-01,"n",NA,"1. A 2-month-old female child nearly died as a result of injuries received from physical abuse.Bedford County Children and Youth Services (BCCYS) substantiated the case naming thefather as the perpetrator. On the evening of July 15, 2014, the child was transported by theparents to the emergency room. During the examination it was determined that the child hadsubdural and subarachnoid hemorrhaging and bilateral retinal hemorrhaging with no externaltrauma to the skull. She was flown to Children’s Hospital of Pittsburgh and admitted to thePediatric Intensive Care Unit. At the time of the incident the child was in the care of her fatherwhile her mother was shopping. Neither parent had an explanation for the child’s injuries.Medical professionals indicate the injuries cannot be explained by any other etiology thanabusive head trauma. On July 16, 2014, BCCYS filed for emergency custody and a safety planwas developed with the paternal and maternal grandparents to ensure the parents’ visitationwith the child was supervised. She was discharged from the hospital to the care of hermaternal grandmother. However, due to the maternal grandmother’s work schedule it wasdecided that the paternal step-grandmother would have physical custody. It was stipulated thatthe paternal grandfather had to leave the residence since he could not be an approvedcaregiver due to an indicated sexual abuse report from Greene County. All visits with theparents are supervised. The child’s father was arrested and charged with aggravated assault,simple assault, and endangering welfare of children. There are no other children in the homeand the family had not been known to BCCYS.Berks County"
"221",221,"near fatality","Berks",2014-07-04,2014,2014-07-01,"n",NA,"2. On July 4, 2014, a 10-month-old female child nearly died due to physical abuse. Themother’s paramour was indicated as the perpetrator of physical abuse by Berks CountyChildren and Youth Services (BCCYS). The mother worked third shift and when she camehome her paramour notified her of a change in the child’s behavior. The child was reportedlyacting differently than normal. Emergency services were called to the home and found bilateralbruising below the child’s ears, blood on one side of the child’s jaw below the ear, she wasdisoriented, gazing to the right and having difficulty breathing. The child’s mother was the onlyadult in the home that appeared to be concerned for the child’s condition. The child was2014 3rd Quarter Fatalities/Near Fatalities 8July 1 – September 30 2014transported to the hospital where medical professionals determined the child had a subduralhematoma and was in critical condition. She was transported to Penn State Hershey Children’sHospital where she was intubated and underwent emergency surgery to decrease intracranialpressure. In addition, skeletal films revealed 15 rib fractures in various stages of healing, andmultiple bruises to her ears, under-chin area, chest, legs and arms. The rib fractures wereconsistent with squeezing or shaking. The child lived with her mother and two-year-old siblingin the home of the mother’s paramour. A safety assessment was conducted and the child’ssibling was removed from the home and placed in foster care. The child was discharged fromthe hospital to a rehabilitation facility and after being re-hospitalized for various medicalconcerns, she was discharged into foster care where she remains with her sibling. The parentshave supervised visitation three times per week with parenting services in place. The familywas not known to BCCYS prior to the incident. The mother’s paramour confessed to inflictingthe injuries to the child and was charged with aggravated assault and endangering the welfareof children. He is currently incarcerated.Dauphin County"
"222",222,"near fatality","Dauphin",2014-08-02,2014,2014-07-01,"Y"," The family has had a history with children andyouth services.","3. An 11-year-old female child nearly died on Aug. 2, 2014, due to severe dehydration andmalnutrition and which was a direct result of neglect. Dauphin County Social Services forChildren and Youth (DCSSCY) indicated the report for physical neglect in Aug. 2014 andnamed both parents as perpetrators. On Aug. 1, 2014, the child’s mother called police toinform them that one of the child’s siblings had died. She stated that something began to smelland for a few days she thought it was a dead rodent. When she eventually confronted herhusband (the victim child’s father) she asked him if the child had died and was told that thechild had been dead for a few days. The reason her husband had not told anyone wasbecause he was afraid of what might happen. After police arrived and found the deceasedchild they also found that there were five other children in the home. One of the children theyfound was in a vegetative state and appeared near death. Immediately after the discoverypolice officers contacted both the District Attorney’s office and DCSSCY. The immediateresponse included a safety assessment which identified multiple safety threats. The fivesiblings were removed from the home and taken to the hospital for evaluation. The victimchild’s doctor stated that she arrived severely dehydrated, hypothermic, and had a heart rate of30 beats per minute, which is extremely low. The doctor also stated that if the child had notbeen brought to the hospital she would have died within 10-12 hours. Shortly after the childrenwere taken to the hospital both parents were taken into police custody to give their statements.The child’s mother stated that she was caring for the child, who was in a constant vegetativestate as a result of a medical condition, and never left the second floor to look after her otherchildren. Four of the five children had previously been diagnosed with some type of physical,mental and/or cognitive disability. All of the children were evaluated and on Aug. 2, 2014, thevictim child was transferred to Penn State Hershey Children’s Hospital while the four siblingswere discharged and placed in foster care. The victim child remains in a vegetative state buthas been stabilized and discharged from the hospital on Aug. 15, 2014, into foster care. Sincethe incident the children have been able to visit each other on a weekly basis, and often timesthey visit each other a few days each week. The family has had a history with children andyouth services. In Oct. 2013 a General Protective Service (GPS) report was received regardingthe family alleging there was domestic violence between the parents as well as possible2014 3rd Quarter Fatalities/Near Fatalities 9July 1 – September 30 2014inappropriate disciplining of one of the children. During this investigation the caseworkerlearned of the children’s disabilities as well as the father’s mental health issues, for which hewas seeing a counselor. The caseworker informed the parents of other services that may helpthem, including parenting classes, county case management services and family basedservices. The family at that time did follow through with the family based services. The countycompleted the assessment and did not find ongoing services necessary as the children’smedical and educational needs were being addressed at that time. In Jan. 2014 another GPSreport was received regarding one of the victim child’s siblings. The sibling was admitted to thehospital for non-neglect issues but appeared very unkempt with dirty nails that wereuntrimmed. It was also reported that the family was not visiting the child while she was in thehospital which concerned staff. The caseworker called the hospital and discussed withphysicians the child’s discharge plans and closed the case. Prior to 2013 there were numerousGPS reports all of which alleged that the children had poor hygiene, and were wearing thesame clothes to school. DCSSCY noted that there were no safety threats or allegations of childabuse or neglect in these GPS concerns. At this time both parents are incarcerated awaitingtrial. The father has been charged with criminal homicide, endangering the welfare of children,concealing the death of a child, and abuse of a corpse. The mother has been charged withcriminal homicide and endangering the welfare of children.Erie County"
"223",223,"near fatality","Erie",2014-07-18,2014,2014-07-01,"N"," The family was not known to ECOCY prior to this neardeath incident.","4. On July 18, 2014, a 3-month-old male child nearly died due to physical abuse. Erie CountyOffice of Children and Youth (ECOCY) substantiated the case naming the mother and fatheras perpetrators of abuse. The mother and father brought the child to the hospital emergencyroom where medical personnel noted the child to be lethargic and having possible seizures.The child was transported via helicopter to Children’s Hospital of Pittsburgh where it wasdetermined the child sustained bilateral subdural hematomas, retinal hemorrhages, bruising tothe forehead, generalized petechia as well as acute and chronic injuries. The injuries the childreceived are believed to be the result of Shaken Baby Syndrome. The father reported being inthe bathroom brushing his teeth while the mother was in the downstairs portion of the home.The mother stated that she was outside of the home loading the car for a fishing trip. Bothparents stated the child was strapped into his car seat but conflicting accounts of where the carseat was placed. The father claims it was on the kitchen floor. The child’s two-year-old siblingwas coloring on the couch in the living room and the father reported hearing a “thud”. He wentto the kitchen and found the child lying on his back with his sibling standing over him. Theparents reported that the sibling must have removed the child from the car seat and droppedhim on his head. ECOCY removed the sibling from the home as a result of the near deathincident and placed her in foster care. Upon release from the hospital, the child was placedinto foster care with his sibling. Criminal charges were filed against the father for aggravatedassault, simple assault and endangering welfare of children. He was incarcerated but releasedon bond. He is not permitted to see the victim child but was allowed supervised visitation withhis daughter providing he attend mandatory visitation training. He failed to attend the trainingand has not seen either child. The mother is allowed visits with both children supervised by theYWCA but rarely sees her children. The family was not known to ECOCY prior to this neardeath incident.Fayette County2014 3rd Quarter Fatalities/Near Fatalities 10July 1 – September 30 2014"
"224",224,"near fatality","Fayette",2014-07-19,2014,2014-07-01,"Y"," This family was known to WCCB as a foster family but was notknown to FCCYS prior to this incident.","5. A 13-year-old female child nearly died on July 19, 2014, as a result of severe medicalneglect. Fayette County Children and Youth Services (FCCYS) has substantiated the case andnamed both parents as perpetrators of child abuse. The mother stated the child had an“unresponsive episode” at which time she transported her to Uniontown Hospital. Upon initialexamination, hospital staff noted the child’s appearance cachectic and that she had multiplesores on her body and extremities. Due to the extent of her injuries and condition the child wastransported via medical helicopter to the Children’s Hospital of Pittsburgh Intensive Care Unitwhere she was found to be extremely malnourished and emaciated, experiencing a low heartrate and blood pressure, deranged electrolytes and her CPK, a marker of muscle breakdown,was extremely elevated. She also had rib fractures and a skull fracture. The child requiredintubation and was administered medication to help her blood pressure and heart rate tonormalize. At the time of hospital admission she weighed 50 pounds which is less than sheweighed at 7 years old. The mother reported that the child had been seen by multiple medicalproviders since Jan. 2014 including multiple hospital admissions for seizures and open sores.In April 2014 the parents wanted the child to be admitted for eating disorders but there was nomedical data to support the request. The parents claim she has food allergies and eatingdisorders which resulted in her low weight. The only explanation given by the parents for thechild’s injuries was that a 5-year-old foster child living in the home would occasionally hit her.On Aug. 7, 2014, the child was moved to the Children’s Institute for rehabilitation. The parentswere allowed to visit with the child under the grandmother’s supervision. Upon the child’sdischarge from the rehab facility FCCYS obtained custody and placed her in the care of afoster family. The child has been attending all medical, dental and vision appointments as wellas appointments related to the incident. The child lived with her mother and father, two siblingsages ten and seven, and two foster children who had been placed in the home byWestmoreland County Children’s Bureau (WCCB). The agency removed the two fosterchildren from the home. After a thorough safety assessment, FCCYS concluded the other twochildren were safe in the home. This family was known to WCCB as a foster family but was notknown to FCCYS prior to this incident. No charges have been filed and the investigation isongoing.Montgomery County"
"225",225,"near fatality","Montgomery",2014-09-10,2014,2014-07-01,"Y"," Prior to the near death incident, MCOCY was involved with thefamily for both general protective services and child protective services regarding reports ofphysical abuse, medical neglect and lack of supervision.","6. On Sept. 10, 2014, a 5-month-old male child nearly died due to physical abuse.Montgomery County Office of Children and Youth (MCOCY) indicated the mother asperpetrator of physical abuse. The mother reported that while the child was on the changingtable he turned blue and went stiff. Paramedics were called and the child was taken to ahospital emergency room where a CAT scan of the child’s head showed acute and chronicsubdural hemorrhages. The child was transferred to Children’s Hospital of Philadelphia forsurgery. The mother admitted to shaking the child on the morning of the near death incident.Upon discharge from the hospital, the child was placed into foster care. The child remains infoster care and his care is being followed by a nurse. At the time of the near death incident, thechild had six siblings residing in the home. A safety assessment was conducted and no safetythreats to the older children were identified. The siblings remain in the home with their motherwith in-home services provided. Prior to the near death incident, MCOCY was involved with thefamily for both general protective services and child protective services regarding reports ofphysical abuse, medical neglect and lack of supervision. There are currently no charges2014 3rd Quarter Fatalities/Near Fatalities 11July 1 – September 30 2014pending against the mother. The police investigation is ongoing as other caretakers for thechild are interviewed."
"226",226,"near fatality","Montgomery",2014-07-18,2014,2014-07-01,"unk",NA,"7. A 9-month-old female child nearly died on July 18, 2014, due to injuries she received as aresult of physical abuse. Montgomery County Office of Children and Youth (MCOCY)substantiated the case in Aug. 2014 naming the child’s grandmother as the perpetrator. On theday of the incident the grandmother was watching the child while the child’s mother was atwork. When the mother picked up her child at the end of the day she noticed bruises for whichthe child’s grandmother had no explanation. The mother immediately took her daughter to thePottstown Emergency Room where she was diagnosed with a subdural hematoma of her headand bruises to the face. The child was transported to Children’s Hospital of Philadelphia whereshe was admitted to the Intensive Care Unit and treated for her injuries. MCOCY conductedinterviews of the mother and grandmother which cleared the mother as a possible perpetrator.During the course of the investigations, a safety plan was put into place to prevent thegrandmother from having unsupervised contact with the child. There were no concernsregarding the mother’s ability to care for her child or to ensure her safety; there are no otherchildren in the home. The child was released from the hospital into her mother’s care. Aninvestigation by the Pottstown Police Department included a failed polygraph test by thegrandmother and follow-up interviews containing numerous inconsistencies. No charges havebeen filed.Philadelphia County"
"227",227,"near fatality","Philadelphia",2014-07-08,2014,2014-07-01,"N"," This family was not known to DHSprior to this incident.","8. On July 8, 2014, a 3-month-old female child nearly died as a result of injuries caused byphysical abuse. The Philadelphia Department of Human Services (DHS) substantiated thereport on Aug. 12, 2014, naming the father as perpetrator. The parents were separated butmaintained an amicable relationship. On the date of the incident, the mother had just left to goout for the evening leaving the child in the father’s care at his mother’s home. He called herwithin minutes to come back because the baby was grey and limp. The father said he waslying down with the baby and when he got up he picked her up and her head fell back. Themother returned immediately and took the baby to St. Christopher’s Hospital. Emergency roomstaff intubated and stabilized the child, conducted a CT scan and diagnosed a left frontalsubdural hematoma and retinal hemorrhaging. The doctor stated that sleeping with the childwould not cause that type of trauma and that the injury is consistent with being shaken. Theparents had no explanation for the child’s injuries. The child was transferred to a rehabilitationfacility for ongoing treatment where the mother and father were allowed supervised visits – themother visited daily; the father not at all. The child was released from the rehabilitation facilityinto her mother’s care and DHS has accepted the family for services. The mother continues tofollow through with all medical appointments for the child and has filed for a Protection FromAbuse order for herself and the child against the father. This family was not known to DHSprior to this incident. The criminal investigation is ongoing as the father continues to avoidpolice and has not made himself available to investigators."
"228",228,"near fatality","Philadelphia",2014-09-09,2014,2014-07-01,"Y"," The family was known to DHS fromseveral unsubstantiated General Protective Service reports over the last few years relating tolack of supervision and the children’s hygiene.","9. A 3-month-old male child nearly died on September 9, 2014, as a result near drowning inhis home. The Philadelphia Department of Human Services (DHS) indicated the mother as aperpetrator for lack of supervision. A 13-year-old female sibling was directed by her mother to2014 3rd Quarter Fatalities/Near Fatalities 12July 1 – September 30 2014bathe her three younger siblings ages 1-year-old, 3-years-old and the victim child. The 1-year-old began to cry so she removed him from the bathtub and took him to another room leavingthe victim child and the 3-year-old in the bathtub unattended. She didn’t immediately return tothe children in the bathtub. The mother went to check on the children and found the victim child lying face down in the water. The mother began to scream and called 911. The father rushedin and began chest compressions while waiting for the ambulance to arrive. The ambulancewas taking too long so the father transported the child to the hospital where testing showedminimal brain activity. The child was placed at Pediatric Specialty Care as a result of hissevere medical concerns. The siblings were taken into temporary custody but have beenreturned to their parents. The family is living with relatives. Counseling has been provided tothe parents and parenting classes have been scheduled. The family was known to DHS fromseveral unsubstantiated General Protective Service reports over the last few years relating tolack of supervision and the children’s hygiene. The family has been provided voluntary, in-home services through DHS. There have been no criminal charges filed in this case."
"229",229,"near fatality","Philadelphia",2014-06-01,2014,2014-04-01,"y"," The father is still involved in the children’slives and is currently receiving parenting education and life skills counseling.","10. A 7-month-old male child nearly died on June 1, 2014, after nearly drowning in a bathtub.Philadelphia County Department of Human Services (DHS) substantiated the report in July 2014and indicated the child’s father as the perpetrator. On the date of incident the father wasbathing the victim child and his 18 month old sister when he stepped out of the bathroom for twominutes. He reported that when he returned the victim child was floating in the bathtub andunconscious. The father states he took the child downstairs immediately and performed CPRfor five minutes when the child began vomiting and opened his eyes. Emergency servicesarrived at the home and the father told them that he was performing CPR because the childhad swallowed some bath water which had worried him. With incorrect information the EMT’swere unable to perform proper procedures for a possible drowning victim. It was not until thechild was at the hospital and more in depth questions were asked that the father admitted whatreally happened. During the incident the mother was on the porch braiding her younger sister’shair and was unaware that the child nearly drowned. A safety assessment was completedwhich found that the children were safe in the home with the mother. She requested that thefather leave the house after the true version of events was told, to which he agreed.Philadelphia’s Special Victim’s Unit investigated the case and determined that the incident wasan accident and no charges were filed in the case. The father is still involved in the children’slives and is currently receiving parenting education and life skills counseling. The child wasdischarged from the hospital and is expected to be fine. In home services started for themother and children after the child returned home from the hospital. The family was known toDHS due to a report that alleged marijuana was being smoked in the home. That report wasscreened out without an assessment being conducted. Note: this summary was added on June 16, 2015.Pike County"
"230",230,"near fatality","Pike",2015-08-06,2015,2015-07-01,"N"," The family was not known to PCCYSprior to this series of incidents.","11.  A 2-year-old female child nearly died on Aug. 6, 2015, as a result of medical neglect that began on Jan. 17, 2013. A report of child abuse was originally received by Pike CountyChildren and Youth Services (PCCYS) on July 3, 2014, due to the mother not following pre-operative and post-operative medical instruction. PCCYS substantiated the case on July 29,2014, naming the mother as the perpetrator. The child was born at Children’s Hospital ofPhiladelphia (CHOP) with a mediastinal lymphangioma (benign tumor) in her chest. She was2014 3rd Quarter Fatalities/Near Fatalities 13July 1 – September 30 2014seen again at 3-months-old for an MRI and was doing well. At that time the doctor requestedthe child be seen again at approximately 1-year-old to assess any development of the tumor.The mass could grow and compromise the child’s heart function and ability to breathe. The mother didn’t take the child for a follow-up until Nov. 2013. After several cancellations of thepre-MRI appointment with an anesthesiologist, the child was finally seen for pre-operativeevaluation but never brought back for the MRI. In Apr. 2014 the mother called CHOPrequesting the child be seen due to difficulty breathing, having fevers, and not eating. Themother was instructed to immediately take the child to the local emergency room. Medical stafffrom CHOP followed up and the mother told them the child had been seen at a local urgentcare facility, she had a viral illness and was under the care of her pediatrician. There is norecord of the child being seen by urgent care or the pediatrician. At the request of CHOP thechild was brought to their office at which time she was admitted. Testing revealed a “hugeanterior multilobulated cystic mediastinal mass” compressing her heart. The child was noted tobe ASA Status 4 defined as an “incapacitating disease that is a constant threat to life”. Herrespiratory rate should have been 20-30 however her respiratory distress caused her rate to be 80-100. On May 12, 2014, a four hour surgery removed the tumor which the surgeondescribed as the largest mass he had seen in his 25 year pediatric career. Post-operativerecovery was difficult noting a deep vein thrombosis which required painful injections ofLovenox twice daily for treatment of the clot. In addition to the twice daily injections, dischargeinstructions included lab work crucial to ensuring the proper levels of Lovenox. The child wasreleased from the hospital on May 20, 2014, with an appointment scheduled for June 2, 2014,with a local pediatrician. That appointment was missed and CHOP immediately followed up tofind out why. The mother claimed the pediatrician cancelled the appointment which was untrueand the child was seen the next day. There was no record of lab work which was to have beendone on June 2, 2014, for CHOP to monitor the blood clot. An MRI was conducted on June 11,2014, with a post-procedure appointment scheduled with the doctor the same afternoon. Themother did not take the child to that follow-up appointment. Between June 11, 2014, and July3, 2014, the child missed multiple appointments at CHOP and with the pediatrician. On July 3,2014, a report was made to ChildLine for neglect. A PCCYS caseworker immediatelyresponded to the home and found no safety threats and all of the children remained in thehome. The caseworker conducted a follow-up visit just prior to receiving the full medical recordand correspondence at which time the agency opened the family for services. The motherwould not appear for scheduled visits and not respond to unannounced visits. The motherrefuses to sign the family service plan but has been taking the child for all scheduled medicalappointments since the case was opened for services. The family was not known to PCCYSprior to this series of incidents. A criminal investigation is ongoing.Schuylkill County"
"231",231,"near fatality","Schuylkill",2014-07-16,2014,2014-07-01,"unk",NA,"12. A 5-month-old female child nearly died on July 16, 2014, from injuries she received as aresult of physical abuse. On Aug. 25, 2014, Schuylkill County Children and Youth Services(SCCYS) indicated her father as the perpetrator. The child was brought to the hospital due toan altered mental state. Testing evidenced bi-lateral chronic subdural hematoma with acuteand sub-acute ischemia. The physician reported suspicion the injuries were caused by non-accidental trauma. During evaluation the child evidenced three separate seizures and wasflown to Lehigh Valley Hospital for further treatment. The parents offered no explanation for the2014 3rd Quarter Fatalities/Near Fatalities 14July 1 – September 30 2014child’s injuries in the initial interviews conducted by SCCYS and local law enforcement.SCCYS assessed and ensured the safety of the victim child’s 1-year-old half-sibling. Insubsequent questioning the mother stated that a conversation she had with the child’s fatherled her to believe he caused the child’s injuries. The father was arraigned on July 18, 2015, forcharges of recklessly endangering another person, simple assault, and aggravated assault. Hewas incarcerated at the Schuylkill County Prison and shortly thereafter posted bail. The motherwas awarded a temporary Protection From Abuse (PFA) order against the child’s father and atthe final PFA hearing the father agreed to a 2 year no contact order. After several weeks in arehabilitation facility the child was released to her mother’s care. SCCYS opened the family foragency services to provide support through the criminal proceeding, provide support in thechild’s ongoing rehabilitation, and to monitor the continued safety of both children. The father’scriminal charges are still pending."
