"","status","county","incident_date","prior_status","narrative","year"
"71","fatality","Philadelphia","May 29, 2015"," Themother was known to the agency as a child, but was not known as a parent.","8. A male newborn was pronounced dead on May 29, 2015, by a physician at theHospital of the University of Penn. The mother delivered the baby boy at home onMay 28 and placed the newborn in a duffel bag. On July 6 the PhiladelphiaDepartment of Human Services (DHS) Child Protective Services investigationindicated the mother as a perpetrator of physical abuse. The mother evidentlyinjured herself while giving birth, hitting her head and causing facial lacerations.Not knowing that she had given birth, family members took her to the hospitalwhere she was admitted for treatment of her injuries. The next day family memberswere in the mother’s room and discovered the child in the duffel bag and took thechild to the hospital for medical attention. The mother was subsequentlyinterviewed by the social worker where she did not admit to being pregnant anddenies memory of the incident causing the infant’s death. Preliminary autopsyfindings reveal that the child was determined to be full term at the time of delivery and weighed 6.6 pounds. The report also states that there were “no signs of traumaor congenital malformations”, and that there appeared to be air in the baby’s lungswhich could have occurred while the child was being resuscitated. A finaldetermination has not been made as to whether the child was alive at the time ofbirth. Further toxicology screens and other tests are pending. There are three malesiblings in the home. They were removed from the home on June 2 by an Order ofProtective Custody, and were initially placed with a maternal aunt. She was notable to maintain stable housing so the children were placed in foster care. Themother was known to the agency as a child, but was not known as a parent. She iscurrently receiving agency services. She has no visitation with her children at thistime, as per order of the court. No criminal charges have been filed in this case.","2015"
"72","fatality","Philadelphia","July 11, 2015"," The family was not known to DHS prior to this incident.","9. A 4-month-old female child died on July 11, 2015, as a result of physical abuse.Philadelphia Department of Human Services (DHS) indicated the case on August 24naming the father as the perpetrator. Emergency services were called to the homeon July 9 for a “code blue.” When they arrived, the child had a pulse but was cool tothe touch. The child was transported to St. Christopher’s Hospital. She had internalbleeding and was certified to be in critical condition. She succumbed to her injuriestwo days later. The cause of death was blunt force trauma. The father stated thathe and a 3-year-old sibling were taking a nap in the same bed as the victim child.The child cried so the father changed her diaper and they all went back to sleep.The father also said the 3 year old may have dropped or stepped on the child whilegetting out of the bed. The victim child was allegedly asleep in a car seat on thebed, per the father’s account. Medical personnel noted blood coming out of thechild’s nose and mouth which is inconsistent with the father’s account of whathappened. The mother was not in the home at the time of the incident. The familyalso has a 3-year- old male child and a 5-year-old female child. DHS was concernedwith the mother’s ability to care for the children since she did not believe that thefather had harmed the victim child. Initially, both children were placed informallywith a family friend to ensure their safety. However, the friend could not continueto care for the children. DHS obtained an Order for Protective Custody and placedthe children in foster care. The family was not known to DHS prior to this incident.2015 3rd Quarter Fatalities/Near FatalitiesJuly 1 – September 30, 2015 7The father was arrested and incarcerated. He was charged with homicide. Thefather remains incarcerated while the criminal investigation continues.","2015"
"73","fatality","Philadelphia","April 12, 2015"," However,the family was known to DHS for a CPS referral which was indicated on April 15,1997, naming the mother as perpetrator.","10. On April 12, 2015, a 12-year-old female child died due to physical neglect. Theinitial determination was that the child died of natural causes due to Group AStreptococcal Sepsis (Strep throat), Left Otitis Media and Mastoiditis (inflammationof the inner ear), and Nephrotic Syndrome (a type of kidney disease). The reportcame in as a GPS report to Philadelphia County Department of Human Services (DHS) on April 14. The report stated the child had died, but it was not as a result ofabuse or neglect. The mother gave the child over-the-counter medication on April11 then transported the child to Jeanes Hospital emergency room later in the day.The child was transferred to St. Christopher’s Hospital for Children for furthertreatment, but died soon after arrival. On May 5 DHS received a Child ProtectiveServices (CPS) report alleging the child’s death was the result of a severe earinfection caused by Streptococcal Sepsis and the mother failed to seek medicalattention for a treatable condition.At the time of the report the family did not have an open case with DHS. However,the family was known to DHS for a CPS referral which was indicated on April 15,1997, naming the mother as perpetrator. The mother admitted to causing physicalinjuries to the older siblings of the victim child. Four invalid GPS reports were received between 2006 and 2009. The allegations were concerning neglect andinappropriate discipline. There are two other school aged children in the home, ages 15 and 9. There is a female sibling, age 25, who also lives in the home. A safetyplan was put into place on May 27, 2015, and case management and home safetyservices were provided to the family via Catholic Community Supports, CommunityUmbrella Agency. On June 6 the DHS social worker supervisor and staff from theChild Advocacy Unit agreed that the two children could not safely remain in thehome. The mother is a hoarder which creates significant safety risks in the home.The two school age children were adjudicated dependent on June 18 and placed inkinship care close to their home. The mother has supervised visits two times aweek. On July 3 DHS indicated the case naming the mother as the perpetrator.Services have been provided to the mother to complete a parenting capacityassessment and treatment alternatives. A referral has also been made for her toreceive a mental health evaluation. DHS petitioned the support of family to ensurethat the mother completes both evaluations. No criminal charges will be filed in thiscase.Near FatalitiesAllegheny County","2015"
"74","near fatality","Philadelphia","July 25, 2015"," Thefather and mother were frequently involved in domestic violence incidents but onthis occasion an altercation resulted in the stabbing of the mother and child.","15. A 22-month-old female child nearly died on July 25, 2015, as a result ofphysical abuse. Philadelphia Department of Human Services (DHS) investigated thecase and on September 28 indicated the child’s father as the perpetrator. Thefather and mother were frequently involved in domestic violence incidents but onthis occasion an altercation resulted in the stabbing of the mother and child. Bothwere taken to Einstein Hospital, but the child was transferred to St. Christopher’s2015 3rd Quarter Fatalities/Near FatalitiesJuly 1 – September 30, 2015 18Hospital for Children for treatment. The child suffered from liver and diaphragmlacerations which were surgically repaired. At the time of the incident, the childlived with her mother and one sibling. Both children remain with their mother.There were no safety concerns with the mother as her protective capacities areintact. This family was not known to DHS. The perpetrator is incarcerated atCurran-Fromhold Correction Facility for several charges: attempted murder,aggravated assault, endangering the welfare of children-parent/guardian/ othercommits offense, reckless endangerment of another person, simple assault, andpossessing possible instrument of crime with intent.","2015"
"75","near fatality","Philadelphia","July 22, 2015"," The family was not known toDHS prior to this incident.","16. A 13-year-old female nearly died as result of physical neglect on July 22, 2015.Philadelphia Department of Humans Services (DHS) indicated the case on August 5naming the child’s mother as the perpetrator of abuse. On July 22 at approximatelymidnight, the child took 10 pills, went to sleep, and then woke up around 5:00 AM,vomiting and in severe distress. Her mother did not seek medical attention rightaway, but waited eight hours before transporting the teen to St. Christopher’sHospital for Children. The mother did not cooperate with the hospital staff toidentify the pills that the teen had taken. The mother changed her story multipletimes as to how the incident occurred and which pills the child had taken. It is notknown to whom the pills were prescribed or the dosage. The teen was admitted tothe hospital in serious but stable condition. DHS determined the two teenagesiblings in the home, a 17 year old and a 16 year old, to be safe in their home as aresult of their ages and mental health evaluations. The family was not known toDHS prior to this incident. They’ve been referred to family counseling. The teen wastransferred from St. Christopher’s to Belmont Psychiatric Facility for evaluation on July 24. DHS obtained an Order of Protective Custody on August 3, 2015, andplaced the child in kinship care. No charges have been filed against the perpetrator.","2015"
"76","near fatality","Philadelphia","June 30, 2015"," The family was known tothe agency in the last 16 months.","17. A 4-month-old male child nearly died on June 30, 2015, due to physical abuse.Philadelphia Department of Human Services (DHS) indicated the case on August 4and named the child’s father as the perpetrator. The child was staying in hisfather’s home at the time of the incident. The father stated that the child was in abouncy seat on top of his bed sleeping. The father said that while he was in thebathroom he heard the child crying. When he returned to the room, the child hadapparently fallen off the bed onto the floor. The father stated that the child lookedfine so he did not seek medical attention. The child stayed the night at the father’shome. When the father took the child back to his mother’s home the next day, shestated that the child didn’t look right. They took the child to the hospital. The childwas determined to have suffered a subdural bleed and bilateral detached retinas.The child also suffered from brain dysfunction with his eyes glazing to the right. Theattending physician suspected that the child’s injuries were the result of abusivehead trauma. The child and his sibling lived with their mother. Both children havebeen placed in kinship care with a maternal great aunt. The family was known tothe agency in the last 16 months. On February 19, 2013, a GPS report was receivedalleging the mother failed to seek medical treatment for a burn on the child’sbrother. The report was determined to be invalid. The mother declined agencyservices and the case was closed. On March 3, 2015, DHS received a GPS reportalleging the mother had tested positive for marijuana upon the child’s birth. The2015 3rd Quarter Fatalities/Near FatalitiesJuly 1 – September 30, 2015 19child did not test positive for marijuana so there was no medical concern for thechild. This report was not accepted for assessment. The father was charged withaggravated assault, endangering the welfare of children and recklessly endangering another person. He was incarcerated on July 31 with bail set at $25,000. Allcharges have been held over awaiting a court date.Washington County","2015"
"77","near fatality","Philadelphia","February 25, 2016",NA,"21. A 2-month-old male child nearly died on February 25, 2016, due to physicalneglect. Philadelphia County Department of Human Services (DHS) indicated thereport on March 28, 2016, naming the child’s mother as a perpetrator for a failureto act and the child’s father as a perpetrator for committing the abusive act. Thefather reported that the child fell off a changing table in a restaurant bathroom andbecame unresponsive. The father then rushed the child to the closest hospital onfoot. The child required cardiopulmonary resuscitation (CPR). Further examinationrevealed that the child had a right subdural hematoma, two fractured femurs, afractured tibia, and numerous retinal hemorrhages. It was determined that theseinjuries were not consistent with the father’s statements. However, there is nofurther information at this time as to what caused the injuries. The child has a twinfemale sibling who was also examined at Children’s Hospital of Philadelphia andfound to have several injuries including a right femur fracture, and bruising belowthe left eye, jawline and upper lip. There is a separate child protective servicesinvestigation regarding the sibling’s injuries. The sibling remained hospitalized forthree days and upon discharge was placed in a foster home. There were also twoolder female maternal half-siblings residing in the home. Both of these femalesiblings were medically assessed and found to have no injuries. They were movedto their paternal grandmother’s home with in-home safety services and theirbiological father has initiated custody proceedings. The child was discharged fromthe hospital on March 11, 2016, and placed in a rehabilitation facility. When he isstable enough to move from there, he will also be placed in foster care. Casemanagement services are being provided to the family. The family was not knownto the county agency prior to this incident. A criminal investigation is ongoing.2016 1st Quarter Fatalities/Near FatalitiesJanuary 1 – March 31, 2016 18Pike County","2016"
"78","fatality","Philadelphia","February 10, 2016","The victim child’s family was known to the Philadelphia DHS prior to the incident.","5. A 10-year-old male child died on February 10, 2016, as a result of seriousphysical neglect. The Southeast Regional Office of Children, Youth & Families(SERO) indicated the report on April 11, 2016, naming the child’s foster mother andher adult friend who was also a caregiver as perpetrators for failing to get the childneeded medical treatment. On April 7, 2016, a separate referral was made to thePhiladelphia Department of Human Services (Philadelphia DHS) naming the child’sschool nurse as an alleged perpetrator for failing to provide for the child’simmediate medical needs. This referral naming the school nurse as a perpetratorwas indicated on May 10, 2016, for serious physical neglect.On the day of the child’s passing, he had gone to the school nurse’s office around9:00 AM to receive care as he started vomiting that day. The child wasuncomfortable, weak, and moaning on his way to the nurse’s office. The schoolnurse contacted the foster mother at around 9:30 AM to pick the child up and takehim to the doctor. The school nurse contacted the foster mother once again around11:20 AM to pick up the child. The school nurse left the school shortly thereafter toattend a training class, leaving the child in the care of a teacher’s assistant, whowas not appropriately trained to care for the child’s medical condition. The childremained at the school until being picked up at 1:00 PM by the foster mother’sadult friend who took the child back to the foster home. At 6:59 PM, a phone callwas placed to 911 to report that the child was unresponsive in the home. The childwas transported to a local hospital where he was later pronounced dead. Aphysician from the medical examiner’s office reported that the child had died from abowel obstruction. Though the death was determined to have been of natural2016 2nd Quarter Fatalities/Near Fatalities Page 5April 1 – June 30, 2016causes, the physician noted that it was possible that the child’s death could havebeen prevented had he received medical attention sooner. He added that the childshould have received immediate medical attention when it was noticed by schoolstaff that the child was having difficulty sitting.To ensure the safety of the other foster children to whom the perpetrators couldhave access, another foster child was immediately removed from the fostermother’s home and placed in respite foster care and the foster mother wasprohibited from having any other children in her home. The school nurse wassuspended from her position with the school district.The victim child’s family was known to the Philadelphia DHS prior to the incident.Ten reports were received between 2007 and 2013 regarding concerns forinappropriate discipline, sexual assault, lack of supervision, and lack of medical care. The child was placed in foster care in February 2012. From 2013 to 2015, fourgeneral protective services reports were received regarding the child. Two reportswere regarding prior foster homes where the child resided. These reports wereregarding concerns for inappropriate care of the child and the child was removedfrom these foster homes following the assessment of the concerns. The other tworeports were regarding the care of the child in his most recent foster home. None ofthese concerns were able to be substantiated and they were closed out after aninitial assessment. Law enforcement has declined to pursue criminal chargesagainst any of the perpetrators in these cases.","2016"
"79","fatality","Philadelphia","February 10, 2016"," The child’s motherwas known to have a history of drug use as the child was born with marijuana,cocaine and amphetamines in his system.","6. A 2-month-old male child died on February 10, 2016, as a result of seriousphysical neglect. Philadelphia Department of Human Services (Philadelphia DHS)indicated the case on June 16, 2016, naming the child’s mother as the perpetrator.The child was taken to a pediatric hospital on February 10, 2016, but was alreadydeceased upon his arrival at the hospital. The cause of death is currently unknown,but the autopsy found trace amounts of cocaine in his system. The child’s motherwas known to have a history of drug use as the child was born with marijuana,cocaine and amphetamines in his system. During the investigation it wasdetermined that there were no signs of abuse or neglect, however; there wasevidence of drug activity in the household. The home also had environmental issuesresulting in the child being in an unsafe environment.The mother stated that on the day of the incident she woke the child around 6:30AM and gave him a bottle. Then at 8:30 AM, she gave him a bath, placed him in hisbassinet, and went downstairs to wash out the bottles. The mother reported thatthe child did not exhibit any trouble breathing when he was placed in his bassinet,but when she returned fifteen minutes later to check on the child, she found himhaving difficulty breathing. The mother reported that she picked the child up andwas screaming and shaking him. She called 911 and the operator walked herthrough the CPR process. When the emergency medical personnel arrived, the childwas taken to the hospital where he was pronounced dead. There were no otherchildren in the home at the time of the incident. The mother had two other childrenwho died of undetermined causes. The family was not previously known toPhiladelphia DHS. The Philadelphia police department’s special victim’s unit is2016 2nd Quarter Fatalities/Near Fatalities Page 6April 1 – June 30, 2016investigating this incident. The criminal investigation is still pending and no chargeshave been filed at this time.","2016"
"80","fatality","Philadelphia","April 16, 2016",NA,"7. A 4-year-old female child died on April 16, 2016, as a result of physical abuse.The Philadelphia Department of Human Services (Philadelphia DHS) founded thecase on May 27, 2016, naming the child’s father as the perpetrator after thejuvenile court founded the physical abuse. On the morning of the incident, thechild’s mother left the home to go to the store, leaving the father to watch the childand her six siblings. The father walked into a room where the children were playing,removed his gun from the holster and started waving it around. The gundischarged, hitting the child in the head. The father contacted the mother to returnhome and when she arrived, informed her that there had been an accident. Afterfinding the child to be slumped over on the bed, unresponsive, the mothercontacted the police. The father changed his clothes and fled the home before theauthorities arrived. Medical personnel pronounced the child dead at the scene at2:25 PM. Later that day, the father turned himself in to the police and initiallyreported he left a gun out in the home, and that the child’s sibling accidentally shotthe child. The father later admitted to accidentally shooting the child and thenaltering the scene to make it appear that the child’s sibling had shot the child. Thechild’s father was arrested on April 17, 2016, and criminally charged with murder inthe third degree, involuntary manslaughter, endangering the welfare of children,possession of an instrument of crime, recklessly endangering another person,tampering with physical evidence, and simple assault. He is incarcerated and is scheduled for a pre-trial conference hearing on December 1, 2016.On April 17, 2016, Philadelphia DHS removed the child’s siblings from the homeand placed them in the home of the maternal grandparents who were grantedtemporary legal custody. The children continue to reside in the custody of theirmaternal grandparents. The victim child’s family was previously known toPhiladelphia DHS. Between 2006 and 2015, nine general protective reports werereceived. C concerns reported included: poor hygiene of children, lack of medicalcare, lack of food in home, and that the victim child was diagnosed with failure tothrive. Two child protective services reports were received for the family between 2012 and 2015. One report was indicated for the father’s lack of supervision. Theother report was unfounded and the records have been expunged.Near FatalitiesAllegheny County","2016"
"81","fatality","Philadelphia","June 23, 2016",NA,"13. A 4-year-old female child died on June 23, 2016, as a result of physical abuse.Philadelphia Department of Human Services (Philadelphia DHS) indicated the caseon July 26, 2016, naming the child’s mother and the mother’s paramour as theperpetrators. It was reported that on the day of the incident, the child found a guninside a bag that was on the floor of the mother’s bedroom closet. The child wasunsupervised at the time when she began exploring the gun and accidentally pulledthe trigger while staring down its barrel. The child was pronounced dead atHahnemann Hospital. In her interview with police, the mother reported that shewas downstairs at the time of the incident. She admitted that the gun belonged toher paramour and that she allowed him to bring it into the home. Moreover, themother changed her story multiple times, giving misleading information to police. Awitness to the event confirmed that the child had shot herself and that the gunbelonged to the mother’s paramour.In addition to the victim child, the mother also had a 3-year-old child residing in thehome and a 6-year-old child that was not residing in the home at the time of theincident. The 6 year old had been living with her grandmother since January 2016,but had access to the home on the weekends. During the investigation, PhiladelphiaDHS placed the 6 year old and the 3 year old in foster care to ensure their safety asthe grandmother was no longer able to care for the 6 year old on a full time basis.The 6 year old now resides with her father who was granted custody and is notreceiving any services at this time. The 3 year old is currently residing with herpaternal aunt and is receiving kinship care services and Trauma-Focused Therapyas a result of the incident. The children have no contact with the mother or themother’s paramour but do have visitations with each other.On June 24, 2016, the mother was incarcerated. She was charged with murder ofthe third degree, involuntary manslaughter, endangering the welfare of a child,hindering apprehension and/or prosecution, possessing an instrument of a crimewith intent, recklessly endangering another person, firearms not to be carriedwithout a license, and carrying firearms in public in Philadelphia. At the time of themother’s arrest, the whereabouts of her paramour were unknown. However, on July1, 2016, the mother’s paramour was located and he was incarcerated. He wascharged with involuntary manslaughter, possession of a firearm prohibited,endangering the welfare of children, firearms not to be carried without a license,carrying firearms in public in Philadelphia, possession of an instrument of crimewith intent, and recklessly endangering another person. The mother pleaded guiltyto all her charges except for murder of the third degree and remains incarcerated.The mother’s paramour remains incarcerated awaiting trial scheduled for January 8, 2018. The family is currently receiving ongoing services as a result of the incident.The family was previously known to Philadelphia DHS. Philadelphia DHS received2016 3rd Quarter Fatalities/Near Fatalities Page 10July 1 – September 30, 2016 four general protective services referrals between October 2011 and January 2016.Concerns reported include the mother’s substance abuse at the time of the victimchild’s birth, lack of supervision, and medical neglect of one of the children in thehome. All four referrals were unable to be validated and were closed after an initialassessment period. No services were provided to the family.","2016"
"82","fatality","Philadelphia","March 20, 2016",NA,"14. A 19-month-old male child died on March 20, 2016, due to serious physicalneglect. Philadelphia County Department of Human Services (Philadelphia DHS)indicated the report on July 12, 2016, naming the child’s mother and father as theperpetrators. In March 2016, the father went to check on the child and give him abottle at midnight. The father then laid down on the bed alongside the child and fellasleep. At 5:00 AM the father got up and noticed the child was not breathing andwas unresponsive. The mother called 911 and began cardiopulmonary resuscitation(CPR). The child was pronounced dead at 5:56 AM. There were no external signs ofabuse or trauma. A general report was made at that time and Philadelphia DHSfound no safety threats present for the siblings at that time. The initial cause ofdeath was believed to be lead poisoning due to paint chips in the child’s stomach,however, autopsy results from May 17, 2016, revealed that the child died from drugintoxication and that he had ingested an excessive amount of morphine. A report ofsuspected child abuse was generated at that time. It is unknown how the childingested the morphine. However, the child’s mother is prescribed morphine for painmanagement due to a medical condition. As a result of the new information relatingto the cause of death on May 17, 2016, the 7-year-old sibling and 4-year-old siblingwere placed with the paternal grandfather as a safety resource. The paternalgrandfather was to supervise visits with the parents and ensure that medicationswould be secured at all times. When he failed to follow the safety plan and allowedthe father unsupervised access to the children, the children were placed together infoster care. Case management services are being provided to the family includingbereavement counseling.The family was previously known to Philadelphia DHS. In August 2014, a report wasreceived concerning the family that was not accepted since there was no specificallegation of abuse. In October 2015, a general protective services report wasreceived that alleged that the victim child had not been seen for medical care sincethe age of 5 months old and he was behind with immunizations. These concernswere unable to be validated and the case was closed at the intake level withoutfurther services being offered to the family. A criminal investigation is ongoing andno charges have been filed at this time.Susquehanna County","2016"
"83","near fatality","Philadelphia","June 29, 2016"," The family had no prior history with Philadelphia DHS and there areno other children in the home.","28. A 1-month-old female child nearly died on June 29, 2016, as a result of physicalabuse. Philadelphia County Department of Human Services (Philadelphia DHS)indicated the case on July 25, 2016, naming the child’s mother and father as theperpetrators. The child was taken by ambulance to Albert Einstein Medical Centerafter she was found by her parents to be in a lethargic and unresponsive state whilein the home. She was evaluated and then transferred to St. Christopher’s Hospitalfor Children (St. Christopher’s) for more specialized pediatric medical care. Thechild received a Magnetic Resonance Imaging Scan (MRI) which determined thatthe child had a sub-acute subdural hematoma found in the area of the frontal lobewhich was consistent with non-accidental trauma. A retinal scan of both eyesdetermined the child to have bilateral hemorrhages indicative of being shaken. Thechild’s injuries suggested that the child suffered an inflicted traumatic brain injury.When interviewed for the investigation, both parents denied causing the child’sinjuries. They admitted that they were the primary caregivers and denied that otherfamily members cared for the child on the night of the incident. The parentsprovided different details of the activities that took place that night and wereunable to explain the child’s injuries.On July 8, 2016, Philadelphia DHS was granted custody of the child at which timethe child was discharged from St Christopher’s and placed with the paternalgrandmother, where she remains. The mother and the father have supervised visitswith the child on a regular basis and are receiving services with the goal ofreunification. The family had no prior history with Philadelphia DHS and there areno other children in the home. A criminal investigation is pending and no arrestshave been made. The child continues to attend primary care visits, neurological andophthalmology appointments and is reported to be doing well.Westmoreland County","2016"
"84","fatality","Philadelphia","November 7, 2016"," The family is not receiving any services as a result of the incident and thefamily had no prior involvement with Philadelphia DHS.","7. A 2-year-old male child died on November 7, 2016, as a result of seriousphysical neglect. Philadelphia Department of Human Services (Philadelphia DHS)indicated the case on December 13, 2016, naming the child’s father as theperpetrator. The determination was based on medical evidence. It was reportedthat the child and his half-sibling were left home alone around 8:00 PM on November 3, 2016. While the children were alone, a fire broke out in the home. Thefather admitted to leaving the children home alone while he went to pick up thehalf-sibling’s mother from work. He said her work was only approximately 5minutes away, however, it took him and the half-sibling’s mother approximately 20minutes to return home. When they arrived, the home was on fire and the firedepartment had found the child and his half-sibling unconscious. The child wastransported to a local hospital and admitted to the Intensive Care Unit. The childdid not have any signs of physical abuse but suffered from smoke inhalation due tothe fire. He was put on life support but then taken off. The child passed away onNovember 8, 2016, after he showed no signs of brain activity. The half-sibling alsopassed as a result of the incident. There are no other children in the home. Nocharges have been filed against the father as the criminal investigation is currentlypending. The family is not receiving any services as a result of the incident and thefamily had no prior involvement with Philadelphia DHS.","2016"
"85","fatality","Philadelphia","November 6, 2016",NA,"8. A 6-year-old male child died on November 6, 2016, as a result of seriousphysical neglect. Philadelphia Department of Human Services (Philadelphia DHS)indicated the case on December 5, 2016, naming the child’s father as theperpetrator. The determination was based on medical evidence. It was reportedthat the child and his half-sibling were left home alone around 8:00 PM on November 3, 2016. While the children were alone, a fire broke out in the home. Thefather admitted to leaving the children home alone while he went to pick up thechild’s mother from work. He said her work was only approximately 5 minutesaway, however, it took him and the mother approximately 20 minutes to returnhome. When they arrived, the home was on fire and the fire department had foundthe child and his half-sibling unconscious. There were no other children or adults inthe home at the time of the incident. The child was transported to a pediatrichospital. He was in critical condition and was admitted to the intensive care unit(ICU). The child did not have any signs of physical abuse but suffered from smokeinhalation due to the fire. He was put on life support but then taken off. The childpassed away on November 6, 2016 after he showed no signs of brain activity. Thehalf-sibling also passed as a result of the incident. No charges have been filedagainst the father as the criminal investigation is currently pending. The family isnot receiving any services as a result of the incident and the family had no priorinvolvement with Philadelphia DHS.2016 4th Quarter Fatalities/Near FatalitiesOctober 1 – December 31, 2016 6Perry County","2016"
"86","near fatality","Philadelphia","September 28, 2016",NA,"21. A 13-year-old male child nearly died on September 28, 2016, as a result ofphysical abuse. Philadelphia Department of Human Services (Philadelphia DHS)indicated the case on November 8, 2016, naming the child’s sister’s ex-paramouras the perpetrator. On the day of the incident, the child, his 8-year-old nephew,and his 12-year-old niece were in the care of his sister’s ex-paramour. The child’ssister had permanent legal custody of the child and he lived in her home. Thesister’s ex-paramour was the father of the 8 year old and 12 year old and came tovisit. He offered to watch the child and his children while the sister went to adoctor’s appointment. It was reported that the sister’s ex-paramour was seenoutside talking to someone in a car before the incident. He then re-entered the2016 4th Quarter Fatalities/Near FatalitiesOctober 1 – December 31, 2016 16home and began arguing with the 12 year old and choked her because she hadclothing on the floor. She blacked out for an unknown period of time and when sheawoke, went to her room with the child and the 8 year old. The sister’s ex-paramour then called the 8 year old downstairs and a few minutes later screamingwas heard. The child and 12 year old ran downstairs and witnessed the sister’s ex-paramour stabbing the 8 year old. The child intervened to defend the 8 year oldand was also stabbed multiple times. The child managed to run to the neighbor’shouse and the police were called. The child was taken to the hospital due tomultiple stab wounds and was in critical condition. He stabilized and was discharged from the hospital on October 5, 2016. He does not require medical follow-uptreatment. No criminal charges were filed against the sister’s ex-paramour as hewas shot and killed during his apprehension by the police on that day. The 12 yearold and 8 year old survived and remain in the home with their mother. They arecurrently receiving therapeutic services. Philadelphia DHS placed the victim childinto foster care as part of a safety plan pending the investigation. The goal is forthe child to return with the sister and for her to adopt him. He currently hasvisitation with the sister and is receiving Focus Trauma Therapy.The sister’s family has no previous involvement with Philadelphia DHS. However,the child was previously known to Philadelphia DHS due to ongoing truancy issuesand his mother’s behavioral health. The child’s mother failed to comply with theservices put in place to address these concerns as well as reunification goals soPhiladelphia DHS terminated her parental rights. He was then placed in foster carefrom March 2014 to May 2016 until he moved to his sister’s home.","2016"
"87","near fatality","Philadelphia","November 7, 2016",NA,"22. A 2-year-old male child nearly died on November 7, 2016, as a result ofphysical abuse. Philadelphia Department of Human Services (Philadelphia DHS)indicated the case on December 14, 2016, naming the child’s maternalgrandmother’s paramour as the perpetrator. On November 7, 2016, the childpresented at the local hospital’s emergency room with injuries to the back of hishead which included a large posterior hematoma to the right skull base, a puncturewound that was actively bleeding, and a fracture that caused the presence of air orgas within the skull cavity. He was discharged from the hospital on November 14,2016, and is doing well. He receives physical and occupational follow up care as aresult of the incident. The child’s mother reported that on the date of the incident,the child, the child’s 9-month-old sibling, the grandmother, and the grandmother’sparamour were finishing dinner when she made a comment that they should havebrought dessert. In response, the grandmother’s paramour made an inappropriatecomment and the mother reported this to the grandmother who said she wouldhandle it and went upstairs to the bedroom with her paramour. The mother washolding the child’s 9-month-old sibling and the child was in the living room whenthe mother heard the grandmother call for her but then said “never mind.” Thegrandmother’s paramour came out of the bedroom first and began to play with the9-month-old sibling and then the grandmother came out of the bedroom with aknife in her back covered with blood. The mother and the grandmother wentoutside with the child’s sibling and the mother called the police and the children’sfather. The grandmother’s paramour came out of the house but heard the mother2016 4th Quarter Fatalities/Near FatalitiesOctober 1 – December 31, 2016 17calling the police so he went back inside. The mother realized the child was stillinside the house so she tried to go back in but the grandmother’s paramour hadlocked the door. The mother heard the child crying from inside the house and whenthe father arrived, he tried to enter but could not. The police arrived and brokedown the door to gain entry at which point the father picked the child up and sawblood coming from his head. The child was then transported to the hospital alongwith the grandmother. The grandmother’s paramour was arrested and charged withtwo counts of attempted murder. He is currently incarcerated awaiting trial. AnOrder of Protective Custody was obtained and the child and his sibling were placedin the legal custody of Philadelphia DHS. Both children are currently in kinshipplacement with their maternal aunt. The family is receiving family stabilizationservices. The services focus on housing, domestic violence, parenting skills, mentalhealth and drug and alcohol treatment.The family was previously known to Philadelphia DHS. In April 2014, the motherand child were residing at a drug and alcohol rehabilitation shelter. A referral wasreceived due to concerns the mother was not being compliant with the programservices she was required to complete. As a result, Philadelphia DHS opened thefamily for in-home services. However, in July 2014, the child was placed in fostercare due to the mother’s continued non-compliance in the shelter program. Thefamily received case management services and parenting skills services and thechild was eventually returned to the parents.","2016"
"88","near fatality","Philadelphia","October 1, 2016",NA,"23. A 12-year-old male child nearly died on October 1, 2016, as a result of seriousphysical neglect. Philadelphia Department of Human Services (Philadelphia DHS)indicated the report on December 5, 2016, naming the child’s mother and father asthe perpetrators. On October 1, 2016, the child was taken to the local pediatrichospital with a fever and severe dehydration. He was found to be underweight andhad protein malnutrition. He had severe vitamin deficiencies, including a vitamin Adeficiency which may have damaged his vision. The child was admitted to thehospital. He had supervised visits with the parents during his hospitalization butthey were discontinued when he was discharged on February 1, 2017 to atreatment foster care home. Visits are to resume once a parenting capacityevaluation is completed. His condition was found to be caused by improper nutritiondue to the parents’ neglect. The child was previously diagnosed with an eatingdisorder and suffered from food intake problems so he was put on a feeding plan in 2014. However, the parents were neglectful in their follow up care with thespecialist appointments and failed to continue with the feeding plan that requiredthe child take Vitamin A prescriptions and PediaSure supplements. No charges havebeen filed against the parents as the police investigation is ongoing at this time.There are no other children in the home. The family is receiving case management,counseling, educational and training, family support, placement, mental health, andparenting education services.The victim child was not previously known to Philadelphia DHS. However, the child’shalf-siblings were receiving services while under the care of their father at the timeof the incident. The mother of the half-siblings is also the mother of the victim2016 4th Quarter Fatalities/Near FatalitiesOctober 1 – December 31, 2016 18child. Her whereabouts were unknown to Philadelphia DHS until this incident. Thehalf-siblings are currently in kinship care placement.","2016"
